familyid,CT00
000106545204,239800
000106618210,405001
000105864763,239800
000106562386,239800
000106252603,239800
000106561005,239800
000106101481,239800
000105931419,239800
000106125808,239800
000106436812,535101
000106652945,535101
000105863979,601100
000106581570,535102
000106035883,535102
000105992145,535300
000106659772,535300
000105845163,535300
000106034081,535101
000105884673,242300
000106639891,242300
000106304402,540700
000106099999,242300
000105994147,297300
000106056587,242300
000106451638,242300
000106491136,240700
000106166085,242300
000078963190,242300
000106218415,540700
000106121480,242300
000106232667,242000
000009300947,242000
000105826288,242000
000105790552,242200
000105820169,242200
000106230945,242200
000106121037,242200
000106582131,242200
000106415558,554802
000009638046,242200
000106491437,242200
000091313294,242200
000106343307,242200
000078279387,535400
000065279532,243000
000106323201,243000
000106233511,243000
000105797915,535200
000105880501,535200
000106655825,535200
000106253612,543305
000106218724,535200
000106274659,535200
000106671655,535200
000106472696,535300
000106455527,535300
000105790138,535300
000106075784,535300
000106120688,243000
000105886785,553000
000105973980,534803
000105913909,535400
000105809258,543100
000106307751,242200
000041945036,240700
000105935450,242200
000103310395,242700
000008515030,543100
000105777932,535400
000106616844,535300
000093283585,535604
000105824948,535300
000106301938,535300
000106254655,535400
000106305335,535400
000106123610,242200
000106275558,242200
000106435065,242200
000106506278,242200
000106479211,242200
000106501561,242200
000002402372,242200
000106616263,242200
000106184163,242200
000106416931,242200
000106340833,242200
000080805669,242200
000106651685,242200
000106293288,242200
000106345812,535200
000106453198,240900
000105917291,240010
000106015457,237720
000106437237,602105
000105798547,401704
000105828874,240010
000049630497,600902
000105777898,532900
000106679360,240700
000105939959,240700
000105792910,240700
000106302052,240700
000105842505,240700
000099759585,240700
000106272929,240700
000106361273,242300
000106183214,242300
000106569854,242200
000105795332,242200
000106362732,240700
000106272209,240900
000106256636,240700
000106349133,240700
000106582775,240700
000106328329,240700
000106274560,240700
000078146670,240700
000106454186,240700
000106161611,240700
000106163875,240700
000106380784,240700
000106562064,240700
000105798534,240700
000106508209,240700
000105997768,240700
000105795751,240700
000105808663,240700
000106078326,535102
000106299331,291130
000106611483,535200
000106411787,242300
000106542939,242300
000105977277,242300
000106509030,242300
000106523148,242300
000105840972,242000
000105997721,242300
000106252519,242300
000106435471,242300
000106077231,242200
000106438042,535400
000106051406,242200
000106364454,243000
000106455771,243000
000105959186,243000
000103534780,243000
000028046226,242300
000106529110,550100
000106414955,242300
000105864077,535300
000106615783,535300
000105994676,535300
000007890160,535300
000106653713,535400
000106616365,535400
000106011136,242300
000106259846,242300
000106096195,242300
000106219539,500401
000106237366,242300
000106011372,534001
000106655273,535400
000106456450,535400
000106581135,535400
000106235681,535702
000040603509,242300
000105843742,242300
000106676676,242300
000106165291,542101
000105778967,242000
000106321649,242000
000106236734,243000
000105804172,535400
000106304907,535400
000106690409,242200
000106342490,242200
000105840142,242200
000106458020,234900
000106168260,242200
000105827218,242200
000106586504,242200
000106320703,242200
000106456780,242200
000106458279,535400
000106367583,242000
000106348755,238000
000106368092,240800
000106036096,240800
000106015910,240800
000106476519,240800
000105930764,240800
000106276318,240800
000105847262,240800
000106615822,241110
000004313515,240800
000105821178,240800
000106291582,242700
000105844235,242700
000106181479,242700
000105882655,243000
000106691947,243000
000105994095,242200
000106304711,243000
000106013968,243000
000105881345,243000
000106677017,240800
000106290913,541200
000106508393,404801
000106299996,240800
000106078415,240800
000106385226,237800
000106075179,240800
000106293830,240800
000105911164,240800
000040730419,240800
000106058267,242000
000106328332,242000
000106128979,900102
000105977808,242700
000106183803,242700
000087015956,242700
000105919714,535000
000106675581,240800
000106634972,240800
000106230262,240800
000106141201,240800
000105869658,240800
000106477073,242600
000106565449,240800
000106658527,240800
000106278307,242000
000106071861,242000
000106015559,242000
000106560101,242000
000106452299,242000
000106298937,242000
000105793953,242000
000106097683,242000
000106219178,242000
000106457370,242700
000105939195,243000
000106270883,243000
000106411127,243000
000106654659,240010
000105848792,240010
000106455792,240010
000040603745,240010
000105865950,240010
000061231390,240010
000105867410,407200
000106012967,240010
000106307829,600302
000106414900,535102
000106389958,535102
000106230602,535102
000105886272,541200
000106079296,535102
000105829422,535102
000105806019,240010
000105823073,240010
000105970584,240600
000106230720,240010
000106348153,535102
000106345817,535102
000106299462,535102
000106674548,535102
000106320782,535102
000106651910,535300
000106369234,242200
000106634472,600202
000106656795,240020
000106636424,240010
000105886918,535902
000105791011,240020
